quarter,file_name,key_tables_used,delete_file_expected_or_scanned,download_date,analytic_cutoff,source_url,notes
2014 Q1,faers_ascii_2014q1.zip,DEMO;DRUG;REAC;INDI,no,2026-03-31,2025 Q4,https://www.fda.gov/drugs/fda-adverse-event-monitoring-system-aems/fda-adverse-event-monitoring-system-aems-latest-quarterly-data-files,Non-cumulative public FDA quarterly ASCII extract; raw file not redistributed in repository.
2014 Q2,faers_ascii_2014q2.zip,DEMO;DRUG;REAC;INDI,no,2026-03-31,2025 Q4,https://www.fda.gov/drugs/fda-adverse-event-monitoring-system-aems/fda-adverse-event-monitoring-system-aems-latest-quarterly-data-files,Non-cumulative public FDA quarterly ASCII extract; raw file not redistributed in repository.
2014 Q3,faers_ascii_2014q3.zip,DEMO;DRUG;REAC;INDI,no,2026-03-31,2025 Q4,https://www.fda.gov/drugs/fda-adverse-event-monitoring-system-aems/fda-adverse-event-monitoring-system-aems-latest-quarterly-data-files,Non-cumulative public FDA quarterly ASCII extract; raw file not redistributed in repository.
2014 Q4,faers_ascii_2014q4.zip,DEMO;DRUG;REAC;INDI,no,2026-03-31,2025 Q4,https://www.fda.gov/drugs/fda-adverse-event-monitoring-system-aems/fda-adverse-event-monitoring-system-aems-latest-quarterly-data-files,Non-cumulative public FDA quarterly ASCII extract; raw file not redistributed in repository.
2015 Q1,faers_ascii_2015q1.zip,DEMO;DRUG;REAC;INDI,no,2026-03-31,2025 Q4,https://www.fda.gov/drugs/fda-adverse-event-monitoring-system-aems/fda-adverse-event-monitoring-system-aems-latest-quarterly-data-files,Non-cumulative public FDA quarterly ASCII extract; raw file not redistributed in repository.
2015 Q2,faers_ascii_2015q2.zip,DEMO;DRUG;REAC;INDI,no,2026-03-31,2025 Q4,https://www.fda.gov/drugs/fda-adverse-event-monitoring-system-aems/fda-adverse-event-monitoring-system-aems-latest-quarterly-data-files,Non-cumulative public FDA quarterly ASCII extract; raw file not redistributed in repository.
2015 Q3,faers_ascii_2015q3.zip,DEMO;DRUG;REAC;INDI,no,2026-03-31,2025 Q4,https://www.fda.gov/drugs/fda-adverse-event-monitoring-system-aems/fda-adverse-event-monitoring-system-aems-latest-quarterly-data-files,Non-cumulative public FDA quarterly ASCII extract; raw file not redistributed in repository.
2015 Q4,faers_ascii_2015q4.zip,DEMO;DRUG;REAC;INDI,no,2026-03-31,2025 Q4,https://www.fda.gov/drugs/fda-adverse-event-monitoring-system-aems/fda-adverse-event-monitoring-system-aems-latest-quarterly-data-files,Non-cumulative public FDA quarterly ASCII extract; raw file not redistributed in repository.
2016 Q1,faers_ascii_2016q1.zip,DEMO;DRUG;REAC;INDI,no,2026-03-31,2025 Q4,https://www.fda.gov/drugs/fda-adverse-event-monitoring-system-aems/fda-adverse-event-monitoring-system-aems-latest-quarterly-data-files,Non-cumulative public FDA quarterly ASCII extract; raw file not redistributed in repository.
2016 Q2,faers_ascii_2016q2.zip,DEMO;DRUG;REAC;INDI,no,2026-03-31,2025 Q4,https://www.fda.gov/drugs/fda-adverse-event-monitoring-system-aems/fda-adverse-event-monitoring-system-aems-latest-quarterly-data-files,Non-cumulative public FDA quarterly ASCII extract; raw file not redistributed in repository.
2016 Q3,faers_ascii_2016q3.zip,DEMO;DRUG;REAC;INDI,no,2026-03-31,2025 Q4,https://www.fda.gov/drugs/fda-adverse-event-monitoring-system-aems/fda-adverse-event-monitoring-system-aems-latest-quarterly-data-files,Non-cumulative public FDA quarterly ASCII extract; raw file not redistributed in repository.
2016 Q4,faers_ascii_2016q4.zip,DEMO;DRUG;REAC;INDI,no,2026-03-31,2025 Q4,https://www.fda.gov/drugs/fda-adverse-event-monitoring-system-aems/fda-adverse-event-monitoring-system-aems-latest-quarterly-data-files,Non-cumulative public FDA quarterly ASCII extract; raw file not redistributed in repository.
