analysis,a_index_with_sd,n_index,c_comparator_with_sd,n_comparator,ror,ror025,ror975,direction
primary_v2_replicated,207,7159,289,5118,0.5,0.41,0.6,lower_with_vortioxetine
exclude_core_confounders_except_pde5,180,6113,257,4003,0.44,0.36,0.54,lower_with_vortioxetine
exclude_any_confounder_except_pde5,163,5427,248,3466,0.4,0.33,0.49,lower_with_vortioxetine
exclude_any_confounder_including_pde5,162,5425,246,3460,0.4,0.33,0.49,lower_with_vortioxetine
exclude_antipsychotic,195,6628,276,4628,0.48,0.4,0.58,lower_with_vortioxetine
exclude_five_ari_alpha_blocker,205,7112,282,5000,0.5,0.41,0.6,lower_with_vortioxetine
exclude_opioid,203,6923,288,4881,0.48,0.4,0.58,lower_with_vortioxetine
exclude_hormonal_therapy,199,7009,283,4948,0.48,0.4,0.58,lower_with_vortioxetine
exclude_urologic_endocrine_condition,203,6944,284,4896,0.49,0.41,0.59,lower_with_vortioxetine
exclude_pde5_or_ed_treatment,205,7149,285,5103,0.5,0.42,0.6,lower_with_vortioxetine
exclude_benzodiazepine,187,6338,283,4421,0.44,0.37,0.54,lower_with_vortioxetine
exclude_mood_stabilizer,202,6814,282,4912,0.5,0.42,0.6,lower_with_vortioxetine
exclude_pain_condition,205,7116,289,5040,0.49,0.41,0.59,lower_with_vortioxetine
exclude_smoking_cessation,207,7158,289,5114,0.5,0.41,0.6,lower_with_vortioxetine
